Relatório UF;;;;;;;;
Gerado em;03/07/2026 11:10;;;;;;;
Ordenação;UF ASC;;;;;;;
;;;;;;;;
UF;Total de perfis;Perfis básicos;Perfis completos;Perfis em campanhas;Capa;Telefones a atualizar;E-mails a atualizar;Total de ID por UF
AC;32746;32666;80;0;0;174;3772;7
AL;177090;176681;408;0;1;1441;26730;9
AM;207364;207115;249;0;0;1019;27657;7
AP;40292;40229;63;0;0;223;7825;6
BA;996288;994618;1669;0;1;7225;106679;11
CE;394711;393975;736;0;0;2933;69163;8
DF;327090;326959;128;0;3;1704;36809;23
ES;413857;413537;312;0;8;4942;23869;9
GO;809911;808923;988;0;0;4284;112976;9
MA;269154;268282;872;0;0;2137;49684;11
MG;2056059;2051740;4310;0;9;15248;199010;15
MS;263099;262783;316;0;0;1506;36645;7
MT;360714;360154;560;0;0;2506;27020;7
PA;349057;348481;576;0;0;2264;0;6
PB;204054;203158;896;0;0;1782;0;6
PE;501908;501164;744;0;0;3982;45818;7
PI;163643;162971;672;0;0;893;35970;6
PR;1306317;1304721;1596;0;0;7787;161988;10
RJ;1804686;1804307;379;0;0;36322;188617;10
RN;227556;226880;676;0;0;1698;24004;6
RO;122115;121907;208;0;0;573;17966;8
RR;36250;36190;60;0;0;201;5951;6
RS;1197293;1195305;1988;0;0;8768;204138;11
SC;966973;965788;1185;0;0;7380;118647;10
SE;123113;122813;300;0;0;761;16475;6
SP;5176755;5173462;3285;0;8;84112;284534;23
TO;102806;102389;417;0;0;574;3245;6
;;;;;;;;
Totais;18630901;18607198;23673;0;30;202439;1835192;250
